"followup##gdid",project,"followup##payment_number","followup##daily_life_ubi_initial","followup##daily_life_ubi_repeated","followup##goals","followup##goals_ubi_repeated","followup##life_different","followup##life_different_future","followup##life_different_ubi_repeated"
gd-21359788,ubi_kenya,1,"I believe the transfer has transformed my life. I was able to buy uniform for my son who had suffered and also leased a piece of land to farm.",,"I changed my mind of going to look for a job to work as a house help once I received my transfer I am now looking forward to earning an income from farming and other alternative means.",,"I am happier and less stressed about providing for my family. The transfer gives me hope, At least every month I have money to sustain my family.","I expect my living standard will have improved in the next six months. I will lease more land for planting cereals. I will the be more stable in terms of income generation.",
gd-21002246,ubi_kenya,5,,"The biggest difference in my life is that the search for water  which we used to  fetch from a distance common source has stopped. We now  have  plenty of water at the doorstep since I bought a large water tank immediately after receiving the contribution from the group members in the merry-go round I joined when the GD transfers came.",,"I have a new goal to start a poultry farming which at the moment I am planning to obtain a chain link so that I may start constructing a poultry house.",,"I expect to see my poultry farming  fully established in the next six months. This is the project I am concentrating on currently and I am sure it will work out as expected since I have a friend who has a fully established poultry farming and he is really willing to guide me over it.","My life currently has really changed in that I have a large water tank and it has really saved us a lot of time to do other activities , we have running projects which we never had before and even paying of school fees for my children is no longer as hard as in the past few months."
gd-22694799,ubi_kenya,1,"Before I received this transfer, I am always being sent home for school fees since my parents were unable to pay in time but since I received the money, I am in school and studying in peace.",,"I will want to start a business to boost in my income",,"I have my own money and I don't ask for pocket money from my parents and I am in school studying in peace. I have not been sent home again for school fees.","I will want to clear up my school fees balance and start up a business to help boost my income.",
gd-21205655,ubi_kenya,1,"The biggest difference in my daily life is that I am motivated to work harder. My burden is now lighter and I can work harder to achieve more. The transfer is a motivation for us to work towards a better life.",,"My new goal is to invest in livestock. This will be an additional source of income for us. I plan to buy goats because they multiply fast. I will then sell them and get funds from that.",,"The current difference in our lives is that we happier than before. We have been having hard times financially. Now we can even afford farm inputs such as fertilizer seedlings. We buy, keep them and immediately the rains come, we plant in season. We are happy about this.","I see my life changing for the better. I expect my living standard to rise and I am happy about it. This will happen because my work will advance and I will get more sources of income such as poultry.",
gd-21135233,ubi_kenya,1,,,,,,,
gd-24801542,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments from GiveDirectly is that, I managed to buy float for my M-pesa business hence I am no longer used busfare twice in a week to buy the float in the bank for my business to run unlike before",,"My new goals; to pool efforts with my huband and buy a motorcyclethe he will use and in ferrying people around and in return we can get income. We also want to buy land which we will establish our home.",,"My life is currently different from how it would have been if I never received the transfer in that, I run my business smoothly in that  I no longer used busfare twice in a week to buy float in the bank for my M-pesa business to run unlike before","I expect my life to change in the next six months in that, my husband and I will have bought a motorcycle which he will use to  ferry people around to get income that  will help us to pay school fees and buy food easily.",
gd-21243970,ubi_kenya,5,,"The biggest difference in my daily life is that i no longer lack food for my family like before where we sometimes could sleep hungry. I buy enough food nowadays to last us for a few days.",,"Yes i do, I have thought of starting a small business and i want to start by building a small structure that will house my business.",,"In the next six months, i wish to have built a better house for my family and that i will also be having a dairy cow. This will help me live a better and a more comfortable life.","I used to have very few clothes and even my children lacked some good clothes. When i started receiving the transfers, i bought my children and myself some new clothes and right now we look alright without the almost tattered clothes that i had. I am glad."
gd-21979715,ubi_kenya,5,,"My daily life has become a lot easier as we are able to afford meals an pay fees on time without much of a hustle.",,"I am currently overwhelmed by a lot school school fees because I have two children in high school,my main goal it to clear this year's fees in the next few months.",,"After clearing my children's school fees for this year school,I would like to start a business that would help me earn some extra income to support my family.","Four months ago,I struggled to get our daily meals because my husband's job is very irregular and my job as a hairdresser is not earning me much.But now,with part of the money,we can buy basic foodstuff in bulk and also use the rest to pay our children's school fees,which was also such a headache before."
gd-21331367,ubi_kenya,8,,"The biggest difference is that in the last four months I was struggling so much to get money to pay for the school fees for my children, But right now I'm able to paid school fees on time and get enough time to do other activities to earn an income to support my family in meeting basic needs.",,"My additional goal is  to start horticulture farming, Planting of vegetables and tomatoes.",,"In the next six months, I would have fully transitioned to horticulture farming which will enable me to earn some income to pay the school for my children and even meet other household needs.","my life currently is different from how it was in the last four months in that I pay school fees on time and also I'm able to buy seeds and fertilizers and do planting on time unlike before where I could have struggled alot to get the money to buy the seeds."
gd-23222576,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments from GiveDirectly is that, I have a reliable source of income since I started a business using the transfers unlike before where I had to struggle looking for money from selling charcoal.",,"My new goal is to build a spacious home since the current one is very small and my children have to sleep at the neighbour's house.",,"My life is currently different from how it would have been if I never received the transfer in that, I have started a hotel business and I can say that I get income from it which unlike before.","I expect my  life to change in the next six months in that, my business will be steady, I will be able to use the profits for my business to paying school for my child easily and also take care of my other needs without borrowing.",
gd-21144060,ubi_kenya,1,"The biggest difference in my life is the fact that the money that i received help me complete a project that will have probably stalled.",,"I want to start saving so as to buy a dairiy cow in the near future.",,"My life is currently different from before because right now, my projects are running through the help of the transfer. I am so happy that the transfer improved my life.","I expect that in the next six months, i would have improved my state of living and would be financially stable and able to buy a cow.",
gd-24783985,ubi_kenya,1,"The biggest difference in my daily life is that I have been able to buy five goats as a source of my assests of which they will assist me on helding financial emergency cases in future .",,"My new goal is to invest my money on enlarging my livestock rearing activities as it has always been my passion and due to lack of money I was unable to purse it .",,"Currently my life is different than it would have been if I never received the transfer in that I have been able to buy five goats as a source of my assests of which I am certain they will assist me on helding financial emergency cases in future .","I expect to shall have invest my money on enlarging my livestock rearing activities in the next six months .",
gd-21855652,ubi_kenya,2,"The biggest difference in my daily life is that because of GD payment , I currently have a she-goat ,that will grow and replicate, and I feel very proud of this fact since it was otherwise going to take me a long time to buy one on my own.",,"My new goal is to intensify my small-scale tomato -growing Project since the expectation of GD monthly payments is in itself an assurance that I will afford pesticides, and I expect improved production for better profit and growth in the near future. Before GD, I could not plan well since I could not afford the required pesticides.",,"My life is currently different in that I got empowered to buy poultry vaccine and as such, expect survival rate for my birds to be high thus I should make better profits","In the next six months I expect my life to begin taking shape and my living standard to improve since I expect improved tomato harvest and a good number of birds.",
gd-24281913,ubi_kenya,1,"I have not experienced any difference in my life because l spent the whole of the transfer to arrange funeral program for my father.",,"My new goal is to build ironroofed house since l am staying in a thatched leaky house where l am comfortable.",,"If l could not have received the transfer l could had a very hard time  to organize my father's funeral. ","In the next six months l expect to have built ironroof house and staying in it comfortably. ",
gd-20943658,ubi_kenya,1,"My daily life has really changed now that me and my husband can get the money every month hence can afford to run the family at ease .",,"The transfer opened my mind in that it made me  able to think for future and plan  appropriately,I am now able to join a group that makes monthly contribution of one thousand kenyan shlillings that i could not afford before.",,"My life is now different because i am able to pay for my chilren school fees without fail which enables them be in school fulltime.","In the next six months,I am expecting my life to change alot because i will have accumulated my money to enable me achive my set goal.",
gd-21202260,ubi_kenya,1,,,,,,,
gd-21931603,ubi_kenya,2,"The biggest difference in my daily life since I started receiving the money from GiveDirectly in that I'm able to provide for my family without any challenges because I used part of the money to repair the motorcycle which is my major source of income.",,"I have a new goal of raising money to plasterr my house because my house is dusty thta encourages a breeding place for jiggers.",,"My life is currently different from the way it would have been if had I not received the money in that if it was not for the money I would not have paid the school fee for my children.","I expect to have cleared school fee balance for my children in the next six months.",
gd-21071504,ubi_kenya,1,"The transfer enables me to provide  food for my family everyday either i get a contract to do or not.",,"I have a plan to buy chicken since i long to practice poultry farming very much.",,"The transfer helped me to work more less than before,initially i have been working extra hard to get money to buy everything in my house and this costed my health a lot.I developed a nose bleeding when i started over working myself.","In the next six months ,i will want to start  business that will boost my life in terms of availability of money.I will be able to avail food to my family without much strain.",
gd-22262179,ubi_kenya,7,,"I no longer have to borrow money whenever I lack money. This makes me a happy person thanks to GD's unconditional transfer.",,"I desire to farm in the near future.",,"I expect to have farmed and I will expect a bumper harvest this will give me fincial freedom.","Currently, I am independent, I can walk to a shop and pick a dress of my choice. I can comfortably put food on my table with ease."
gd-21353677,ubi_kenya,1,"The biggest difference in my daily life is that am very happy less strained.I had tattered shoes and it was unbearable to walk at times where people were but now with new ones that I bought with GD transfers I have regained a new self confidence and can even talk to fellow.I was also able to finish my house and fix the doors and can now live in comfortably unlike before I was sleeping at friends house privacy was a bit of a problem.",,"My new goal is that to start poultry keeping business in large scale so that it can sustain me for the rest of my life.I will only achieve this by saving part of my transfer for a period of time.",,"My life has currently changed, am now very comfortable and happy at my house.I have restored my friends again since I shunned away from them due to extreme poverty and some didn't want to associate with me since I borrowed a lot but now am satisfied because I combine what I earn from casual jobs and with GD transfers and everything needs is well covered.","I expect my life to change in the next six months in that I will be a business man mainly a poultry keeper in my village.I will gain respect among my people in the village because poverty draws lines between people even if they live in the same village and I want to break that.",
gd-22174297,ubi_kenya,1,"The biggest difference in my daily life  is that i was able to pay farm labourers to cultivate my land for me and i will get more farm produce for family consumption.",,"My new goal is to save and buy iron sheets to build a new house as my current house is old.",,"My life is currently different because i was able to pay labourers to cultivate my farm and buy food to feed my family.","I expect to buy  livestock for rearing, build a new house and also eat well,",
gd-22192242,ubi_kenya,1,"The  biggest difference in my daily life since I started receiving the money is that there are times I can misss going to work and get time to work on my oiwn farm because I know the family won't go hungry.",,"I have a new goal of saving some money and use it to pay dowry for my wife come next year so that I can feel as a full man.",,"There is no digfference in my daily life that I talk of currently buyt I believ with time there wil be.","In the next six months I expect to be a stable farmer for commercial so that I won't be working for people in their farms.",
gd-20985562,ubi_kenya,6,,"These transfers have made it possible for me to buy adequate food and a matress.",,"I am planning to use this transfers  on food and medical expenses.",,"I have expect to have quality food and medication because am now old.","My life is currently different because these transfers come on a monthly basis."
gd-22175655,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the money is that I feel proud having painted my house. This is one thing I have always longed for doing but I couldn't afford it.",,"At the moment I wouldn't say I have any new goal, maybe with time I'll have a new goal.",,"At the moment there is no difference in my life but I believe as I continue receiving the money I'll have a difference.","In the next six months, I expect to have built a decent kitchen that my children can use for sleeping because the one I have currently is not in good condition.",
gd-24557781,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the money is that I feel relieved having paid college fee for my daughter. This has relieved me of the burden because I ddin't know how to raise it.",,"I have a new goal of boosting my business so that it can grow bigger. Having no stable income I used to buy less stock but now I'm planning to add more stock.",,"My life is currently different from the way it would have been had I not received the money from GiveDirectly in that if it wasn't for GD by now I wouldn't have school fee for my daughter in college.","I expect to have boosted my business in the next six months.",
gd-21335053,ubi_kenya,6,,"Give Directly transfers have really helped me. The biggest difference in my daily life is economic progress. I now own a sofa set and I pay school fees for my children without struggling because I used to struggle initially due to lack of funds.",,"In the next four months, I plan to buy a cow that will give us milk for consumption and sale. I currently do not have a cow and I buy milk every day. The cow will eliminate the expense of milk.",,"I expect my life to be better. I plan to own a cow and a few more furniture because I already have one seat. I expect my children to study well because Give Directly funds will help me pay part of their fee. Initially I used to think they might not complete their studies and it used to disturb me a lot but now there is hope for me and for them too. I prefer for my children to have a better life than mine and education is the answer to a better life in future.","My life is currently different because I have hope that my child will finish her secondary education. Life was hard because I used to get little cash day by day from my small business of buying and selling maize. I was not assured of where school fee will come from because I am a single mother and they all depend on me. Give Directly transfers will enable me to pay the fee and I am grateful."
gd-23320255,ubi_kenya,1,"The most outstanding thing in my life is that now I have a cow which I spent most of my free tie looking after the cow. If not with GD I believe I would still be wasting most of my time with the rest of my peers idling around shopping center.",,"My new goal is to built ,a house so that we can have a secure and better house to live. We currently have only one house which is very small and its not enough for my growing family.",,"Currently I have a cow which I didn't had before. Again I am working on my tea nursery which I started with part of GD cash which I had received.","In the next six months I would expect to have built a house and prepare part of my ,land in readiness for tea planting. I believe when I get my next transfer I will send on constructing a house.",
gd-21125339,ubi_kenya,5,,"The biggest difference in my daily life since I received the transfers  is that we nowadays have plenty of food unlike in the past when food in our household was insufficient.",,"I have an additional goal to ensure that I purchase and own a cow before  the end of the transfer period we were told by Give Directly.",,"It is my expectation that in the next few months my hope to have purchased  a  cow will have come to reality since that is what I am now prioritizing as I work hard in the merry-go-round I joined.","Our life as a family has currently changed. Looking a the farming we are currently doing , I can proudly say that we have expanded the area of cultivation and we are sure to harvest more as we go along which is much different from how we were in some months ago."
gd-24552252,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the transfer is that, I managed to pay school fees for my four children in high school and I am proud that they are going on with their education being that I was not previllaged to get education fully and only want the best for them.",,"My new goal is to start my business, probably selling fish to get income.",,"My life is currently different from how it would have been if I never received my transfer in that, I have managed to pay school fees with ease for my four children .","I expect my life to change in the next six months in that, from the profits of my business I will start saving hoping to continue paying school fees without struggling.",
gd-22339100,ubi_kenya,1,"The biggest difference is I will be able to settle my children's  school fees with ease. This has been a hustle but at least I can comfortably say that it had been settled after the transfer initiative from GD.",,"The goal I have is to improve my farming by buying fertilizer, quality seeds and hiring a larger piece of land and farming largely that will enable to also have more harvest.",,"The difference is I have access to money hence I can Invest wisely and no longer engage in hard labor. Before the transfers I has to make ends meet by fetching hard to earn a living.","I see my self being more comfortable having farmed largely I will not have a problem with acquiring food as well as I can sell some farm produce for exchange of money that can help me in paying school fees and settling other household expenditure.",
gd-22596926,ubi_kenya,7,,"My daily life in the last four months has really changed because the burden of providing for my family has been lifted  a bit. These transfers has helped me pay child's school fees on time ensuring he's never sent out of school.",,"I would love to save the next few transfers so that I can purchase a a cow.This will be a constant reminder of GD's great help in my life and a good investment too",,"I would love to have something of my own,that is why I wish to purchase a cow that belongs to me and not my husband.","Four months ago,we were living in a grass-thatched house,but we decided to combine our transfers and constructed an iron roofed one which is also very spacious."
gd-21299357,ubi_kenya,6,,"The biggest difference in my daily life is that these transfers have enabled me to venture into vegetable farming hence more income in the near future and there is reduced stress.",,"I am planning to save towards clearing a piece land I had bought earlier on.",,"I expect to have acquired my own piece of land and bought my piece of land and also to marry.","My life is currently different because it has boosted vegetable farming because earlier it was hard to buy farm inputs like fertilizer."
gd-21337381,ubi_kenya,5,,"The biggest difference in my daily life is that these transfers have enabled me to invest in merry go round contribution from which I will get school fees.",,"As soon as I receive my merry go round contribution I intend to built a house and a dairy cow.",,"I expect to have bought a cow to be a source of milk and built a house because the current one is old and mud-walled roof.","My life is currently different because I have hope of getting  money every month of which I could not get before."
gd-22559193,ubi_kenya,3,"The biggest difference in my daily life since I started receiving money from GiveDirectly is that I'm proud I'm developing skills in welding. If it wasn't for GD, I would be idling back at home.",,"I do  not have a new goal instead I want to concentrate on welding training.",,"My life is currently different from the way it would have been had I not received money from GD in that I now have skills in welding and I believe in the near future I'll have perfected my skills at it.","In the next six months, I expect to be perfect in welding and start practicing it.",
gd-22473445,ubi_kenya,4,"The biggest difference in my daily life is that I was able join college after I cleared my high school fees and my certificate released to me after it was detained for not clearing fees.",,"My new goal is to clear my college and get a job.",,"Were it not for GiveDirectly,I would not have been able to join college. My high school certificate could have still been detained for not clearing.","In the next six months, I am hopeful that I should have cleared my college fees and continuing my studies.",
gd-24643044,ubi_kenya,1,"I can now read books freely without borrowing from my peers.With this I will pass my exams with flying colors.",,"I do not have any new goal.",,"My life has changed since I have books to read and pass my exams. There is more income from my mothers business which means we can now eat well and healthily.","I am planning on buying more cows to rear for financial security.",
gd-20919311,ubi_kenya,5,,"The biggest difference in my life right now is that we eat well and we no longer struggle and overwork ourselves with casual labor in order to get our daily food.",,"My new goal right right now is to ensure my son goes to college and that i am able to pay his school fees and educate him.",,"I expect that my life will have improved because i believe i will have built a better house and bought a dairy cow for rearing, i will be living a more comfortable life and with an extra source of income.","I used to struggle so much working in order to have money for our daily needs and also to save something for my son's school fees. Right now, i work without pressure and i am stress free sincei know my c=son's fees will be sorted, thanks to the transfers."
gd-22415536,ubi_kenya,1,"The  biggest difference in my daily life since i started receiving payments from Give Direct is that i started a shop business that enable me save for my school fees and also Iam able to buy my personal things like clothes and sanitary towels without asking my mother to help me with money.",,"My new goals that i didn't have before receiving the transfer is joining college this year since i can now save some money from my business profit.",,"My  life is  currently different from how it would have been had I  never received the transfer,  Iam now owning my shop business though still small but i have an income and i dont depend on my parents fully, I can buy some of my personal belongings like sanitary towels and also my clothes.","I expect my life to change in the next six months since i believe i will join college  through saving part of my profit for fees. Iwill be very happy to join college since that has been my dream.",
gd-21144060,ubi_kenya,6,,"The biggest difference in my life is that I get an income every month. This allows me to work mre on my farm as I have inputs to planr at the required time.This makes me realy happy",,"I plan to build a house",,"In the next six months, I will have  built a house and wil already be living well.I will also have bought a cow as I will  have recived contributions from my table banking group.","I have managed to plant crops properly on time and with sufficient inputs. I am hopefull for better income."
gd-21206625,ubi_kenya,6,,"The biggest difference in my daily life is that these transfers have enabled me to expand my  fruits selling business.",,"I am planning to built my own shop by selling fruits and saving towards it.",,"I am expecting my kid to have started school and to have started  my own shop.","My life is currently different  because  I have invested in merry go round  contribution and can now access basic amenities like soap."
gd-23100744,ubi_kenya,1,"My business went down and I was loosing clients at high rate because my power saw was not working but thank to GD, I was able to repair my power saw and I am on my feet and able to serve my clients in time.",,"Currently I do not have any new goal. I will accomplish what I had in mind first.",,"My economic life has improved greatly since I received this transfer because my power saw is working and my motorcycle is in perfect condition. I am able to respond to my clients in time. My desire to build a new house has also been boosted by the transfer which I began saving for in my bank account.","I would want to build a new house since the one I have now is too small for my family. I would also want to buy a pick up to help me in my business through transportation.",
gd-21146194,ubi_kenya,2,"The biggest difference in my daily life since I started receiving the transfer is the hope I have for good things to come in my life more so from the house that I am going on building it with the help of the GD transfer.I am happy about it .",,"The new goal that I have developed since I started receing the transfer is to completed my new house then buy a goat.",,"My life is currently different from how it would have been if I had not received the transfer in that I can have daily food for my family unlike before.The transfer has helped me construct a new house and this brings happiness in my family.","In the next six months I expect to be living in the new house.I also expect to have bought a cow and be doing better in farming.",
gd-24708228,ubi_kenya,1,"I was able to buy new building materials that I will use to erect a new house structure.",,"I am planning to buy a cow that I will keep for future benefits because I will",,"My life is different because I now own yet I did not have them in the past.","My life will change because I will be able to have a new house with full house items such as a new bed, mattress and other household items such as utensils that will be of help to me and my family.",
gd-24569712,ubi_kenya,1,"The biggest in my life is that I was able to buy the floor tiles, something that I was not able to achieve in the past.",,"My new goal is to do a few repairs on my dilapidated house and make it look nice and more presentable.",,"I would not have been able to work on the external look of my house like I am currently doing. Moreover, repaying the loans I had could have proved to be an uphill task for me.","My life will change because I will have a more presentable house and I will also be able  to realize a bumper harvest because I managed to use better fertilizers this time round.",
gd-24075594,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the transfer is that currently am happy I have started my own business. This has made me be independent and also be able to get my basic needs unlike before when I used to forgo some. I have also reduced my casual job to do my own jobs with my own pleasure. I feel I have a better and more simple life in terms of work I do currently to earn a living.",,"to do tea farming in my piece of land.",,"My life is currently different from how it would have been if I had not received the transfers in that I am currently developing financially. I am gaining more ability of being fully independent. I see good changes coming in future life. I feel in the near future I will be able to give back to my family.","In the next six months I expect to have made a tea nursery.",
gd-21133584,ubi_kenya,1,"The biggest difference is that i have a good plan for my life.I am hopeful everyday and looking forward to receiving the next transfer",,"My new goal is to start poultry farming.I will use the money i receive to buy the chicken i  need to start it.",,"My life is that in that i have hired someone to help me with farm work so that i can be completing it good time .This will enable me to maximize the little rain we get here to plant my crops and hence beat the effects of erratic weather.It will enable me to get better yields from my farm and defeat hunger.","In the next six months i will have started getting high produce from the farm.I will no longer have a food problem.then i will have started building a kitchen.",
gd-22392644,ubi_kenya,7,,"The biggest differences in my daily life in the last four months preceding the transfers is that I'm proud I now have enough decent seats, so I do not have to borrow seats from neighbors whenever I have visitors.",,"In the next four months, I have a new goal of saving money for plastering my floor to avoid water sipping through the floor during the rainy seasons.",,"In the next six months, I expect to have plastered my house to solve the problem of water sipping through the floor.","My life is currently different from how it was four months ago in that I have made a great step in repairing my seats and now I have decent seats. I have also been able to shop in bulk which is more economical as compared to shopping in small quantities."
gd-22473251,ubi_kenya,1,"The biggest difference in my daily life is that I have acquired peace of mind with the assurance that I will be able to receive some cash at the end of every month.",,"I have a new goal of renovating my house which is currently mud-walled. I also have a goal of purchasing furniture to furnish the renovated house.",,"My life is currently different because my plans which could not be accomplished before the transfer will now be accomplished.","In the next six months, I would be able to expand my business and operate it under large scale.",
gd-22829047,ubi_kenya,1,"The biggest difference in my daily life is that these transfer has enabled me purchase a book required by my son in high school and also to clear fees before the time I had promised to pay.With these transfers I now have peace of mind because my son will stop calling me and asking for the set book required at school.",,"I am planning to increase my poultry  stock so that school fees burden is reduced and I will no longer sell maize for school fees.
I am planning to grow healthy by eating well.",,"My life is currently different because where I was seemed dark but when GiveDirectly came I felt like the Israelite's when they were crossing the Red Sea.This is because the promise I had made at school concerning school fees payment has been fulfilled earlier than the promised date.","I expect that my children will no longer lack food,school fees and clothes in the next six months.I also expect to have adequate farm inputs like vegetable seeds and maize seeds which was quite difficult in the past.I expect love and unity to increase between the donors and Kenya.",
gd-21952264,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the money is that I'm so relieved my daughter is going to sit for her examination without any fear of being sent back home for school fee.",,"I have a new goal of openning a business so that I can have a souurce of income to enable me meet my childdren's needs being that my children depend on me.",,"My life is currently different fromm the way it would have been if I did niot receive the m oney in that if it was not for the money my daughter would still be at home while others are studying.","I expect to have a stable business in the next six months thus a stable income.",
gd-24742566,ubi_kenya,1,,,,,,,
gd-22128998,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments is that I can now be able to buy better food for my family. I am happy that my children can feed better.",,"My new goal is to save the money I receive so that I can buy a dairy cow then later start a business that can give me a more stable income.",,"My life is currently different from how it would have been without the transfers in that I am able to buy and do things that I could not do before due to lack of money.","In the next six months I expect  that I will be living in  a more decent house because by then, we will have completed plastering our house.",
gd-22454918,ubi_kenya,7,,"The biggest difference in my day in the last four months preceding the transfers is that I can financially plan for my activities without any challenges.",,"I have a new goal of starting up a dairy unit because I believe I'll be able to get more income.",,"In the next six months, I expect to have started up a dairy unit.","My life is currently diffeent from the way it was four months ago in that currently I can say I'm financially stable and I do not strain a lot."
gd-24278033,ubi_kenya,1,"When I received my GD transfer I started a business which has greatly improved our  improved living standard as a family. I will not be hustling for school fees the way I did before GD gave me money. I see better health for children and a good education too.",,"I want to buy a plot in the near future to put up rentals and business stalls. This will add to my income generating activities. I am working hard to get returns from this business.",,"My life has changed tremendously because I can earn enough it was hard to think of how I could get school fees. I went to the extend of doing casual jobs, borrowing loans and disposing of property but now I am happier I sleep without stress. In fact, my start up collapsed in the past because I had a lot of school fees to pay and I dug into my capital. Something I will not do today.","I am planning to put more money into my business, since it is a start up I want to have enough stock. Look for all glass types, at the moment I have only six glass types. I want to have a variety in my shop.",
gd-21066363,ubi_kenya,8,,"The biggest difference in my life is that now we can get food for the family unlike before we would spent a night without food.",,"In the next four months I would expect to save money so that I can buy a cow since we usual buy milk for use which is so expensive.",,"In the next six months I would expect to buy a heifer so that I can stop buying milk for use.","Now we can buy food at ease as we previously depend on casual jobs only. We now have kales which when we sell we get some money for use."
gd-20973437,ubi_kenya,1,"The biggest  difference is that i am now free from the pressing need to pay for my insurance covers.i make payments every month to a life insurance cover with BRITAM and also a medical cover with the National Hospital Insurance Cover(NHIF). I had a deadline to beat and now i am so happy that i have paid for it and so am not bothered nor stressed any more.",,"My new  goals is to start  rearing chicken.This will be giving me a daily income since i will have layers that will lay eggs everyday.i also plan  to continue paying for my insurance cover.",,"My life has changed since i am now well covered in both life insurance and medical insurance.if i had never received this transfer,i may not have been able to contribute money for both policies which would have left me in danger in case of any situation needing insurance cover.","In the next six months ,i will be free from the pressing deadlines to pay insurance premiums.i will have a poultry system worth kshs 20000  that will be a good source of income.",
gd-22018612,ubi_kenya,1,"The biggest difference in my daily life is that I have managed to pay for the debt I owed and I have the seeds and the fertilizer.",,"My new goal is to stock a poultry house I had constructed but I had not stocked for lack of money.",,"My current life is different in that I have the seeds and my farm is doing so well.","I expect my life to change in the next six months with my farm doing so well and I will have enough to eat with my family.",
gd-21407609,ubi_kenya,1,"There hasn't been so much significant difference in my daily life as at now but the fact the money helped me in paying school fees for my child is awesome. This reduced the pressure that i had on where i would get the money for such.",,"I want to rear chicken for egg production and a dairy cow for milk. These will be a source of alternate income for our family.",,"Before receiving the transfers, i had so much pressure on providing for my family with the scarce and limited resources, thanks to Givedirectly for holding my hand and giving me the money that helped me in paying some school fees.","I will have a cow and and a few chicken, this signifies an improved lifestyle change and also means my family and i will be more comfortable.",
gd-24666809,ubi_kenya,1,"I am now in a position to live more comfortably in my new house.",,"I have a plan of buying a cow that I will rear for commercial purposes. I also want to become a serious farmer, and earn a living out of the farming project.",,"First of all, I now have a house of my own, something that I did not have in the past. I also managed to buy a few household items that makes my life much easier.","My life will change because I will have started a new farming project where I will be planting various cash crops in addition to keeping domestic livestock that will generate future profit.",
gd-23228978,ubi_kenya,1,"The biggest difference in my life now is that my dream business of starting up poultry business is a reality in my life and I know my economic life will be better. Thanks to Give Directly.",,"Currently I do not have any new goal in my life.",,"Right now I am able to receive income consistently as a result of the poultry business.","I would want to buy more chicken to boost my business as this will help my family in the long run.",
gd-21558638,ubi_kenya,1,"I see a big difference in my life. I use to depend on shift or available contracts for an income. Sometimes these casual jobs are not available thus I am left without an income. This will be a thing of the past because I have bought chicken with my transfer and within a month I be another source of income.",,"I am actively saving in order to buy a cow this is a goal I never had before receiving transfers. I am also a member in a chama that I joined on I receiving my transfer. I will use the contribution to start a chicken business and to buy a goat too.",,"My life has changed a lot  I now have a vision for greater things. I have bought chicken and I owe no one. Unlike in the past when debts were the talk of the day.","In the next six months I expect to have a cow and to have build my own house. I am living with my parents and having my own house gives me a sense of independence,.",
gd-21747594,ubi_kenya,8,,"The biggest difference in my daily life is that nowadays l can borrow comfortably from a friend knowing that l have something by the end of the month.",,"I do not have any new goal since the money is too little to use it for investment.",,"In the next six months l would continue using the money to support my daily expenditure.","I am eating comfortably and paying my bills without any challenge."
gd-21547677,ubi_kenya,1,"The biggest different in my daily life is that I have cleared paying school fees for my children and I'm so happy because they will not be sent home to collect school fees again, this also had given me time to work in my farm because I have peace of mind unlike before where I could not concentrate because of lack of money to settled their fees.",,"We are planning to start a merry go round with members from our village because this will enable us to save amount every month to help us in paying school fees for our children.",,"My life now is different because I have paid for my children's school fees and I have much time to worked in my farm so that my family will be able to get enough food and even sell the supply to meet other basic needs.","I expect a big change in my life in the next six months because I'm planning on starting a grocery business and this  business will enable me to save enough to meet the basic needs for my family and even school fees in future.",
gd-24298306,ubi_kenya,1,"The biggest difference in my daily life is that I have a piece of mind since I have paying of dowry and now I am traditionally married .",,"My new goal is to save and buy a piece of land and build on it my homestead.",,"Currently my daily life is different in that I have paid off dowry and now I am traditionally married unlike before the transfer was sent this dream used to look like impossible due to the little income that I get , couldn't be enough to save up and do such a project.","In the next six month I expect to shall have saved and bought a piece of land .",
gd-24269109,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments from GiveDirectly is that, I have managed to renovate one of my rooms which my visitors can spend the night. I am happy that I don't worry when my visitors come around.",,"My goals are; to take my disable child in a special school and start my business which had collapsed and I believe that throught this I can be able to take care of my daily needs easily.",,"My life is currently different from how it would have been if I never received the transfer in that, I have one of the expensive bags and I no longer borrow whenever I go to importart places.","I expect my life to change in the next six months in that, I will have started my business and from the profits I will be able to take care of my needs.",
gd-24864980,ubi_kenya,2,"The biggest difference in my daily life since I started receiving payments is the cow that I bought using the transfer. I had always dreamed of buy a cow but it had never been realistic due to financial constraints but currently am always happy to see one in my compoud and also hopeful of buying another one with the second transfer.",,"The new goals that I didn't have before receiving the transfer is to buy a cow.",,"My life currently different from how it would have been if I had never received the transfer in that I have given my family better clothing and enough food for their daily meals. I currently also own a cow and I planing to buy one more. I am happy about this since will boost my assets.","In the next six months to come, I expect my life to be better in that I will have livestock in my compound hence will be producing milk for both sales and family use.",
